"setting","ARI 1","Dunn 1","ARI2","Dunn2","BIC2","ARI3","Dunn3","BIC3","ARI4","nARI4","Dunn4","nDunn4","ARI5","Dunn5","ARI6","Dunn6"
80,0.190808900650283,0.0495866366074818,0.60647310246756,0.00828073618483868,1457.86384948464,0.622256650418197,0.0116885440006692,-854.662810830563,0.0937140542362532,4,0.0504182059384414,7,0.267094189671604,0.029599235637509,0.208783428042338,0.0497854485273813
81,0.57555405965705,0.0305403962920221,0.809042209459515,0.0113781213956604,1478.6984493951,0.827233273610604,0.0228640014645207,-835.739038439056,0.600663014543398,9,0.0345622608306991,4,0.773273650841261,0.076983046961309,0.654408770300375,0.0375799293886051
82,0.277833703679682,0.0430583893869712,0.864218518887166,0.0186226403543914,1598.94339368381,0.864218518887166,0.0186226403543914,-1014.6730344715,0.606408490318796,9,0.0401825755218972,1,0.256740722041673,0.0371229730862489,0.575468313335027,0.013917108342
83,0.687372157886703,0.0310338467809195,0.90200948211856,0.0177042904393179,1558.18638828878,0.90200948211856,0.0177042904393179,-973.021156096774,0.69714340383956,9,0.0288945128820097,6,0.809050840665668,0.0228200646940865,0.755683450912105,0.0128166852820348
84,0.236679634321227,0.0406596968097836,0.921206010253784,0.0156218543790397,1614.58141922793,0.902010396670399,0.0216455224014029,-900.14732008967,0.773273144742753,1,0.0566882930806146,9,0.288277256205415,0.0246450081353002,0.246606891590896,0.0513363527814978
85,0.217594632197429,0.0512803476605691,0.845627166152156,0.0165230277557429,1573.12708100516,0.845627166152156,0.0165230277557429,-934.608002020081,0.436610986165857,9,0.0462070597940878,9,0.236833725043314,0.0512803476605691,0.545340295574563,0.0177189200294844
86,0.721098625707765,0.0160902633973463,0.827233999570713,0.0173685860709302,1518.89591205473,0.809041947135781,0.0152373108292695,-976.500486124423,0.575552413653807,3,0.0179677386045011,4,0.738289606855633,0.0215215488508144,0.721102006287799,0.0188559189963885
87,0.459909935110982,0.0359209000146835,0.96020003979996,0.046655956105284,1503.15098238645,0.96020003979996,0.046655956105284,-865.641575009607,0.782769319423009,9,0.0630455431258817,1,0.149436376666846,0.0428035652411059,0.48760938105889,0.0630455431258817
88,0.199162641096792,0.0234360084079,0.738288219015361,0.0167129782340444,1540.10130905406,0.738288747718153,0.0177300131088493,-961.077687191244,0.0727792450651152,9,0.0637029816439105,8,0.14876478342531,0.0566970256735034,0.246716402731404,0.0165855522724444
89,0.277949024833654,0.0248089753489702,0.755673737538638,0.0153210635138627,1476.9012719595,0.773262749758245,0.0153210635138627,-1013.51036159113,0.391987651330366,7,0.0516753772894303,1,0.106156033774033,0.0601685796774287,0.50171893765236,0.0178382511204756
90,0.265504346559176,0.0287225484202774,0.921205473031803,0.0245295542100933,1466.13049377225,0.921205473031803,0.0245295542100933,-861.501916849899,0.738289606855633,3,0.0490338063643872,7,0.137865104136075,0.0921762237154985,0.368255884677164,0.0378094809639439
91,0.980000002828211,0.0955265727512129,0.960200994975126,0.0565104082857942,1359.61798929543,0.979999997171788,0.0565104082857942,-1006.45265635686,0.772256583851586,9,0.0170709820574935,2,1,0.116773166381595,0.980000002828211,0.0955265727512129
92,0.940582072885546,0.10570175787023,1,0.131624918271127,1292.53408655209,1,0.131624918271127,-928.656072371357,0.940592589638164,3,0.0297375054750643,4,0.979994837181788,0.131624918271127,0.940582072885546,0.10570175787023
93,1,0.117947218169827,1,0.117947218169827,1317.23861778839,1,0.117947218169827,-872.511614221273,0.960200120203677,1,0.0383526683638482,1,1,0.117947218169827,1,0.117947218169827
94,0.864222551040945,0.0450534370995759,0.902008401262559,0.0479358745062813,1306.93725055083,0.940602178727175,0.0489564965873157,-1010.41998220559,0.864221058897664,7,0.0750325026083281,6,0.638256300844077,0.0441891804536214,0.883017084123704,0.0433893592565075
95,0.960201017487119,0.105759880066992,1,0.0563479484507398,1233.83551901484,1,0.0563479484507398,-923.375167976722,0.960201017487119,2,0.105759880066992,2,0.960201017487119,0.105759880066992,0.960201017487119,0.105759880066992
96,1,0.297582263186197,1,0.297582263186197,1215.31230513105,1,0.297582263186197,-833.515332813809,0.939693256263537,9,0.0895991197838141,7,1,0.297582263186197,1,0.297582263186197
97,0.809054636220599,0.0242357329427456,0.96020019739094,0.0482383963051751,1285.79246065412,0.979999618992262,0.0711244221857859,-976.46208526383,0.773282762517905,2,0.0897821801578572,2,0.979999718386985,0.0836698522443535,0.809054636220599,0.0242357329427456
98,0.883013627854793,0.0404866171463436,0.960200592970963,0.0892125585227767,1214.09095310948,0.960200592970963,0.0892125585227767,-917.538632712028,0.883013627854793,2,0.0825289236543034,9,0.940602325119809,0.0892125585227767,0.883013627854793,0.0404866171463436
99,1,0.2370724250432,1,0.2370724250432,1225.77070190779,1,0.2370724250432,-834.776736109671,1,2,0.2370724250432,2,1,0.2370724250432,0.979999544647596,0.186936964658376
100,0.827234697603525,0.0549252441112375,0.921206010253784,0.04415809915665,1267.59269741047,0.883017172743298,0.0254264423390012,-870.48214201045,0.738293505947152,8,0.0506863528925074,7,0.940602805090597,0.033778634500816,0.827234697603525,0.0549252441112375
101,0.755679255698194,0.0466053527179854,0.883015074195248,0.051355581554774,1227.49755108791,0.883015074195248,0.051355581554774,-871.067783213196,0.663710294631447,7,0.0347595792913336,7,0.845628413575694,0.0515304628913486,0.755679255698194,0.0466053527179854
102,1,0.203653013856158,1,0.203653013856158,1245.10411999153,1,0.203653013856158,-775.114891181984,0.921205997519718,1,0.0232895297936409,1,1,0.203653013856158,1,0.203653013856158
